Easton Evil Empire,Riverstone Stoners,Vancouver Moose Drool,Visalia Viagra Vipers,Lemoore Liberators,Dinkey Creek Dirt Clods,Sanger Squatty Pottys,South Town FF,Clovis Jets,Kingsburg Killaz
TIER 1 — Drafted Rounds 1–5,,,,,,,,,
"Daniels, Jayden WAS QB","Jackson, Lamar BAL QB","Allen, Josh BUF QB","Hurts, Jalen PHI QB","Burrow, Joe CIN QB","Robinson, Bijan ATL RB","Cook, James BUF RB","McCaffrey, Christian SF RB","Jefferson, Justin MIN WR","Barkley, Saquon PHI RB"
"Smith-Njigba, Jaxon SEA WR","Nabers, Malik NYG WR","Chase, Ja'Marr CIN WR","Henry, Derrick BAL RB","St. Brown, Amon-Ra DET WR","Collins, Nico HOU WR","Brown, Chase CIN RB","London, Drake ATL WR","Jeanty, Ashton LV RB","Lamb, CeeDee DAL WR"
,"Taylor, Jonathan IND RB","McBride, Trey ARI TE","Nacua, Puka LAR WR","Mayfield, Baker TB QB","Bowers, Brock LV TE",,"Stroud, C.J. HOU QB","Hampton, Omarion LAC RB","Gibbs, Jahmyr DET RB"
,"Wilson, Garrett NYJ WR","Irving, Bucky TB RB","Williams, Kyren LAR RB","Thomas, Brian JAX WR","Nix, Bo DEN QB",,"Love, Jordan GB QB","Walker, Kenneth SEA RB","McConkey, Ladd LAC WR"
,"Higgins, Tee CIN WR","Adams, Davante LAR WR","Henderson, TreVeyon NE RB","Achane, De'Von MIA RB","Jacobs, Josh GB RB",,"Metcalf, DK PIT WR","Brown, A.J. PHI WR","Harrison, Marvin ARI WR"
,,,"Evans, Mike TB WR",,"Herbert, Justin LAC QB",,,,
TIER 2 — Drafted Rounds 6–10,,,,,,,,,
"McCarthy, J.J. MIN QB","Murray, Kyler ARI QB","McLaurin, Terry WAS WR","Pickens, George DAL WR","Swift, D'Andre CHI RB","Kamara, Alvin NO RB","Goff, Jared DET QB","Harvey, RJ DEN RB","Worthy, Xavier KC WR","Prescott, Dak DAL QB"
"Odunze, Rome CHI WR","Purdy, Brock SF QB","Maye, Drake NE QB",,"Smith, DeVonta PHI WR",,"Pollard, Tony TEN RB","Sutton, Courtland DEN WR","Rice, Rashee KC WR","Williams, Caleb CHI QB"
"Williams, Jameson DET WR","Hall, Breece NYJ RB","Diggs, Stefon NE WR",,"Hockenson, T.J. MIN TE",,"McMillan, Tetairoa CAR WR","Kelce, Travis KC TE","Judkins, Quinshon CLE RB","Moore, DJ CHI WR"
"Charbonnet, Zach SEA RB","Waddle, Jaylen MIA WR","Montgomery, David DET RB",,"Warren, Jaylen PIT RB",,"Flowers, Zay BAL WR","Mixon, Joe HOU RB",,"Tracy, Tyrone NYG RB"
"Andrews, Mark BAL TE","LaPorta, Sam DET TE","Williams, Javonte DAL RB",,,,"Etienne, Travis JAX RB","Samuel, Deebo WAS WR",,"Warren, Tyler IND TE"
"Egbuka, Emeka TB WR","Jones, Aaron MIN RB",,,,,"Meyers, Jakobi JAX WR",,,
"Pearsall, Ricky SF WR","Hunter, Travis JAX WR",,,,,,,,
TIER 3 — Drafted Rounds 11+ / Free Agency,,,,,,,,,
"Lawrence, Trevor JAX QB","Croskey-Merritt, Jacory WAS RB","Godwin, Chris TB WR","Stevenson, Rhamondre NE RB","Jennings, Jauan SF WR","Higgins, Jayden HOU WR","Stafford, Matthew LAR QB","Jeudy, Jerry CLE WR","Tagovailoa, Tua MIA QB","Skattebo, Cam NYG RB"
"Robinson, Brian SF RB","Pitts, Kyle ATL TE","Sanders, Shedeur CLE QB","Pittman, Michael IND WR","Shakir, Khalil BUF WR","Allgeier, Tyler ATL RB","Reed, Jayden GB WR","Darnold, Sam SEA QB","Dart, Jaxson NYG QB","Olave, Chris NO WR"
"Addison, Jordan MIN WR","Coker, Jalen CAR WR","Davis, Malik DAL RB","Brissett, Jacoby ARI QB","Rodgers, Aaron PIT QB","Shough, Tyler NO QB","Allen, Keenan LAC WR","Aiyuk, Brandon SF WR","Rivers, Philip IND QB","Bigsby, Tank PHI RB"
"Benson, Trey ARI RB","Mitchell, Adonai NYJ WR","Hunt, Kareem KC RB","Marks, Woody HOU RB","Kincaid, Dalton BUF TE","Carter, Michael ARI RB","Pierce, Alec IND WR","Loveland, Colston CHI TE","Doubs, Romeo GB WR","Burden, Luther CHI WR"
"Young, Bryce CAR QB","Chiefs, Kansas City KC DEF","Johnson, Juwan NO TE","Wilson, Michael ARI WR","Ayomanor, Elic TEN WR","Wilson, Emanuel GB RB","Watson, Christian GB WR","Dowdle, Rico CAR RB","Franklin, Troy DEN WR","Gainwell, Kenneth PIT RB"
"Monangai, Kyle CHI RB","Pineiro, Eddy SF K","Seahawks, Seattle SEA DEF","Ferguson, Jake DAL TE","Falcons, Atlanta ATL DEF","Dike, Chimere TEN WR","Parkinson, Colby LAR TE","Knight, Zonovan ARI RB","Johnston, Quentin LAC WR","TeSlaa, Isaac DET WR"
"Goedert, Dallas PHI TE",,"Fairbairn, Ka'imi HOU K","Hill, Taysom NO TE","Texans, Houston HOU DEF","Robinson, Wan'Dale NYG WR","Schultz, Dalton HOU TE","Vikings, Minnesota MIN DEF","Ertz, Zach WAS TE","Lions, Detroit DET DEF"
"Broncos, Denver DEN DEF",,,"Tonges, Jake SF TE","Butker, Harrison KC K","Slayton, Darius NYG WR","Steelers, Pittsburgh PIT DEF","Lutz, Wil DEN K","Henry, Hunter NE TE","Aubrey, Brandon DAL K"
"Boswell, Chris PIT K",,,"Saints, New Orleans NO DEF",,"Fannin, Harold CLE TE","Little, Cam JAX K",,"Jaguars, Jacksonville JAX DEF",
,,,"Dicker, Cameron LAC K",,"Patriots, New England NE DEF",,,"Loop, Tyler BAL K",
,,,,,"Bates, Jake DET K",,,,
