Round,Easton Evil Empire,Riverstone Stoners,Vancouver Moose Drool,Visalia Viagra Vipers,Lemoore Liberators,Dinkey Creek Dirt Clods,Sanger Squatty Pottys,South Town FF,Clovis Jets,Kingsburg Killaz
TIER 1,,,,,,,,,,
1,"Daniels, Jayden WAS QB","Jackson, Lamar BAL QB","Allen, Josh BUF QB","Hurts, Jalen PHI QB","Burrow, Joe CIN QB","Robinson, Bijan ATL RB","Chase, Ja'Marr CIN WR","Barkley, Saquon PHI RB","Jefferson, Justin MIN WR","Lamb, CeeDee DAL WR"
2,"Collins, Nico HOU WR","Nabers, Malik NYG WR","McBride, Trey ARI TE","Henry, Derrick BAL RB","St. Brown, Amon-Ra DET WR","Bowers, Brock LV TE","Mahomes, Patrick KC QB","McCaffrey, Christian SF RB","Jeanty, Ashton LV RB","Gibbs, Jahmyr DET RB"
3,"Thomas, Brian JAX WR","Taylor, Jonathan IND RB","Irving, Bucky TB RB","Nacua, Puka LAR WR","Mayfield, Baker TB QB","Nix, Bo DEN QB","Cook, James BUF RB","London, Drake ATL WR","Hampton, Omarion LAC RB","McConkey, Ladd LAC WR"
4a,"Smith-Njigba, Jaxon SEA WR","Wilson, Garrett NYJ WR",,"Williams, Kyren LAR RB","Achane, De'Von MIA RB","Jacobs, Josh GB RB","Kittle, George SF TE","Stroud, C.J. HOU QB","Brown, A.J. PHI WR","Brown, Chase CIN RB"
4b,,,,,,,,,"Walker, Kenneth SEA RB",
5,"Henderson, TreVeyon NE RB","Higgins, Tee CIN WR","Adams, Davante LAR WR","Evans, Mike TB WR","Harrison, Marvin ARI WR","Herbert, Justin LAC QB","Hubbard, Chuba CAR RB","Love, Jordan GB QB","Hill, Tyreek MIA WR","Metcalf, DK PIT WR"
TIER 2,,,,,,,,,,
6,"Conner, James ARI RB","Purdy, Brock SF QB","McLaurin, Terry WAS WR","Fields, Justin NYJ QB","Swift, D'Andre CHI RB","Kamara, Alvin NO RB","Goff, Jared DET QB","Harvey, RJ DEN RB","Murray, Kyler ARI QB","Prescott, Dak DAL QB"
7a,"McCarthy, J.J. MIN QB","Hall, Breece NYJ RB",,"Pollard, Tony TEN RB","Smith, DeVonta PHI WR","Worthy, Xavier KC WR","McMillan, Tetairoa CAR WR","Sutton, Courtland DEN WR","Pacheco, Isiah KC RB","Williams, Caleb CHI QB"
7b,,,,,,,,"Kelce, Travis KC TE",,
8,"Williams, Jameson DET WR","Waddle, Jaylen MIA WR","Maye, Drake NE QB","Moore, DJ CHI WR","Hockenson, T.J. MIN TE","Diggs, Stefon NE WR","Flowers, Zay BAL WR","Ridley, Calvin TEN WR","LaPorta, Sam DET TE","Odunze, Rome CHI WR"
9,"Andrews, Mark BAL TE","Jones, Aaron MIN RB","Montgomery, David DET RB","Pickens, George DAL WR","Tracy, Tyrone NYG RB","Charbonnet, Zach SEA RB","Hunter, Travis JAX WR","Mixon, Joe HOU RB","Rice, Rashee KC WR","Johnson, Kaleb PIT RB"
10,"Egbuka, Emeka TB WR","Meyers, Jakobi LV WR","Williams, Javonte DAL RB","Dobbins, J.K. DEN RB","Warren, Jaylen PIT RB","Pearsall, Ricky SF WR","Etienne, Travis JAX RB","Samuel, Deebo WAS WR","Judkins, Quinshon CLE RB","Warren, Tyler IND TE"
TIER 3,,,,,,,,,,
11,"Lawrence, Trevor JAX QB","Engram, Evan DEN TE","Jennings, Jauan SF WR","Njoku, David CLE TE","Penix, Michael ATL QB","Ward, Cam TEN QB","Robinson, Brian SF RB","Jeudy, Jerry CLE WR","Tagovailoa, Tua MIA QB","Skattebo, Cam NYG RB"
12,"Addison, Jordan MIN WR","Smith, Geno LV QB","Golden, Matthew GB WR","Kupp, Cooper SEA WR","Shakir, Khalil BUF WR","Croskey-Merritt, Jacory WAS RB","Stafford, Matthew LAR QB","Darnold, Sam SEA QB","Olave, Chris NO WR","Mason, Jordan MIN RB"
13,"Tuten, Bhayshul JAX RB","Stevenson, Rhamondre NE RB","Godwin, Chris TB WR","Ekeler, Austin WAS RB","Bigsby, Tank JAX RB","Loveland, Colston CHI TE","Coleman, Keon BUF WR","Aiyuk, Brandon SF WR","Allen, Braelon NYJ RB","Higgins, Jayden HOU WR"
14,"Benson, Trey ARI RB","Chubb, Nick HOU RB","Eagles, Philadelphia PHI DEF","Pittman, Michael IND WR","Reed, Jayden GB WR","Kirk, Christian HOU WR","White, Rachaad TB RB","Kraft, Tucker GB TE","Dart, Jaxson NYG QB","Burden, Luther CHI WR"
15,"Young, Bryce CAR QB","Allgeier, Tyler ATL RB","Pitts, Kyle ATL TE","Broncos, Denver DEN DEF","Rodgers, Aaron PIT QB","Richardson, Anthony IND QB","Jones, Daniel IND QB","Chiefs, Kansas City KC DEF","Bates, Jake DET K","Aubrey, Brandon DAL K"
16,"Vikings, Minnesota MIN DEF","Butker, Harrison KC K","Downs, Josh IND WR","Dicker, Cameron LAC K","Ravens, Baltimore BAL DEF","49ers, San Francisco SF DEF","Bills, Buffalo BUF DEF","Karty, Joshua LAR K","Texans, Houston HOU DEF","Steelers, Pittsburgh PIT DEF"
17a,"Boswell, Chris PIT K","Lions, Detroit DET DEF","Lutz, Wil DEN K","Wilson, Russell NYG QB","Koo, Younghoe ATL K","Bass, Tyler BUF K","McLaughlin, Chase TB K",,,"Kincaid, Dalton BUF TE"
17b,,,"Mooney, Darnell ATL WR",,,,,,,
17c,,,"Spears, Tyjae TEN RB",,,,,,,
