Lemoore Liberators,Easton Evil Empire,Clovis Jets,South Town FF,Kingsburg Killaz,Riverstone Stoners,Dinkey Creek Dirt Clods,Vancouver Moose Drool,Sanger Squatty Pottys,Visalia Viagra Vipers
TIER 1 — Drafted Rounds 1–5 (2025),,,,,,,,,
"Burrow, Joe CIN QB","Daniels, Jayden WAS QB","Jefferson, Justin MIN WR","McCaffrey, Christian SF RB","Gibbs, Jahmyr DET RB *","Jackson, Lamar BAL QB *","Robinson, Bijan ATL RB *","Chase, Ja'Marr CIN WR *","Cook, James BUF RB","Hurts, Jalen PHI QB"
"St. Brown, Amon-Ra DET WR","Smith-Njigba, Jaxon SEA WR","Jeanty, Ashton LV RB","London, Drake ATL WR","Barkley, Saquon PHI RB","Nabers, Malik NYG WR","Collins, Nico HOU WR","Allen, Josh BUF QB","Brown, Chase CIN RB","Henry, Derrick BAL RB"
"Mayfield, Baker TB QB",,"Hampton, Omarion LAC RB","Stroud, C.J. HOU QB","Lamb, CeeDee DAL WR","Taylor, Jonathan IND RB","Bowers, Brock LV TE","McBride, Trey ARI TE",,"Nacua, Puka LAR WR"
"Thomas, Brian JAX WR",,"Walker, Kenneth KC RB","Love, Jordan GB QB","McConkey, Ladd LAC WR","Wilson, Garrett NYJ WR","Nix, Bo DEN QB","Irving, Bucky TB RB",,"Williams, Kyren LAR RB"
"Achane, De'Von MIA RB",,"Brown, A.J. NE WR","Metcalf, DK PIT WR","Harrison, Marvin ARI WR","Higgins, Tee CIN WR","Jacobs, Josh GB RB","Adams, Davante LAR WR",,"Henderson, TreVeyon NE RB"
,,,,,,"Herbert, Justin LAC QB",,,"Evans, Mike SF WR"
TIER 2 — Drafted Rounds 6–10 (2025),,,,,,,,,
"Swift, D'Andre CHI RB","McCarthy, J.J. MIN QB","Worthy, Xavier KC WR","Harvey, RJ DEN RB","Williams, Caleb CHI QB *","Purdy, Brock SF QB *","Kamara, Alvin NO RB","Maye, Drake NE QB *","Goff, Jared DET QB","Pickens, George DAL WR"
"Smith, DeVonta PHI WR","Odunze, Rome CHI WR","Rice, Rashee KC WR","Sutton, Courtland DEN WR","Prescott, Dak DAL QB","Murray, Kyler MIN QB",,"McLaurin, Terry WAS WR","Pollard, Tony TEN RB",
"Hockenson, T.J. MIN TE","Williams, Jameson DET WR","Judkins, Quinshon CLE RB","Kelce, Travis KC TE","Moore, DJ BUF WR","Hall, Breece NYJ RB",,"Diggs, Stefon WAS WR","McMillan, Tetairoa CAR WR",
"Warren, Jaylen PIT RB","Charbonnet, Zach SEA RB",,"Mixon, Joe FA RB","Warren, Tyler IND TE","Waddle, Jaylen DEN WR",,"Montgomery, David HOU RB","Flowers, Zay BAL WR",
,"Andrews, Mark BAL TE",,"Samuel, Deebo SF WR",,"LaPorta, Sam DET TE",,"Williams, Javonte DAL RB","Etienne, Travis NO RB",
,"Egbuka, Emeka TB WR",,,,"Jones, Aaron MIN RB",,,"Meyers, Jakobi JAX WR",
,"Pearsall, Ricky SF WR",,,,"Hunter, Travis JAX WR",,,,
TIER 3 — Drafted Rounds 11+ / Free Agency (2025),,,,,,,,,
